loc,title,institution,start,end,description_1,description_2,description_3,description_4,section,order
Master of Science in Data Science,University of Washington,NA,2021,2023,NA,NA,NA,NA,education,1
"BS in Applied Mathematics, Minor in Computer Science",Wake Forest University,NA,2017,2021,Association for Women in Mathematics and Computer Science,NA,NA,NA,education,NA
"Study Abroad, Python and Real Analysis ",University of Sydney,NA,2019,2019,"SUMS, Mathematics Society",NA,NA,NA,education,NA
High School Diploma,Blue Valley North High School,NA,2013,2017,"Varsity Cross Country and Track, Team Captain, Science National Honor Society",NA,NA,NA,education,NA
Empower Retirement,Visualization Developer and Data Analytics Intern,"Greenwood Village, Colorado",2021,2021,Explored cloud platform data and created Tableau dashboards to expose visibility into cloud resource expenses.,"Built interactive data-driven infographics to provide relatable knowledge of capacity, cost, labor, and overall project management.",NA,NA,research_positions,NA
Wake Forest University,Data Science Pedagogy Research,"Winston-Salem, NC",2020,2021,Assisted Dr. McGowan's Data Science Lab on examining best practices in teaching R.,Built and published interactive tutorials on using tidyverse for data analysis.,Created randomized trials using shiny and learnr software tools.,NA,research_positions,NA
Westmead Institute for Medical Research,New South Wales Health Internship,"Sydney, Australia",2019,2020,Collaborated on projects developed by industry partners in healthcare and biotechnology.,Researched disruptive technologies and precision medicine to address biomedical risk factors and treatment of chronic diseases.,NA,NA,research_positions,NA
Wake Forest University,Nanotechnology in Solar Cells Research,"Winston-Salem, NC",2018,2020,Worked with Dr. Ghadiri's Laboratory for Nano-Photo-Chemistry.,"Acquired photoluminescence imaging, spectroscopy, and ultrafast pump-probe microscopy data of solar cell devices.",Analyzed data to identify photophysical processes and device performance of nanostructured films.,NA,research_positions,NA
Wake Forest Innovation Quarter,Concussion Research Assistant,"Winston-Salem, NC",2018,2019,"Monitered and outfitted soccer players with mouthpiece software, collected data, and analyzed data for study of head impact in sports and injury biomechanics.",NA,NA,NA,research_positions,NA
Wake Forest Baptist Health,Clinical Internship/Shadowing Program,"Winston-Salem, NC",2018,2018,Accepted a clinical internship program offered by Wake Forest School of Medicine.,Shadowed several physicians specializing in various fields during surgeries and patient office visits.,NA,NA,research_positions,NA
KC Orthopaedic Institute,Orthopaedic Surgery Shadow,"Leawood, KS",2017,2017,Shadowed several orthopedic doctors during surgeries and patient office visits.,NA,NA,NA,research_positions,NA
Wake Forest University,Association for Women in Mathematics Executive Committee,"Winston-Salem, NC",NA,NA,Led and participated in various programs and workshops to mentor students in math.,NA,NA,NA,affliation,NA
Wake Forest Baptist Health,Intensive Care Unit Volunteer,"Winston-Salem, NC",2017,2018,"Operated the front desk, assisted nurses and doctors, and organized files and equipment.",NA,NA,NA,volunteer_positions,NA
Children's Mercy Hospital,PathFinder,"Kansas City, MO",2015,2016,"Helped patients and families navigate the hospital, assisted doctors in the sports medicine clinic.",NA,NA,NA,volunteer_positions,NA
"University of California, Los Angeles",UCLA Student Volunteer,"Los Angeles, CA",2015,2015,Participated in various service projects around Los Angeles.,"Helped local environmental groups preserve marine habitats, provided meals and other assistance to underprivileged residents.",NA,NA,volunteer_positions,NA
